Name	Mana Cost	Type	Rules Text	Flavor Text	Power	Toughness	Loyalty	Name 2	Mana Cost 2	Type 2	Rules Text 2	Flavor Text 2	Power 2	Toughness 2	Loyalty 2	
The Vidalian	5	Legendary Enchantment — Landmark 	​				3	
Call of the Death-Dweller	2B	Sorcery	Return up to two target creature cards with total mana value 3 or less from your graveyard to the battlefield. Put a deathtouch counter on either of them. Then put a menace counter on either of them.					
Divine Reckoning	2WW	Sorcery	Each player chooses a creature they control. Destroy the rest.\n Flashback 5WW (You may cast this card from your graveyard for its flashback cost. Then exile it.)					
Recommission	1W	Sorcery	Return target artifact or creature card with mana value 3 or less from your graveyard to the battlefield. If a creature enters this way, it enters with an additional +1/+1 counter on it.					
Return Triumphant	1W	Sorcery	Return target creature card with mana value 3 or less from your graveyard to the battlefield. Create a Young Hero Role token attached to it. (If you control another Role on it, put that one into the graveyard. Enchanted creature has “Whenever this creature attacks, if its toughness is 3 or less, put a +1/+1 counter on it.”)					
Ancient Cornucopia	2G	Artifact	Whenever you cast a spell that’s one or more colors, you may gain 1 life for each of that spell’s colors. Do this only once each turn.\n T: Add one mana of any color.	“I reckon that thing’s trying to put me out of a job!”                                                    —Bristly Bill, cactusfolk gardener				
Thought Vessel	2	Artifact	You have no maximum hand size.\n T: Add C.					
Invasion of Shandalar	3GG	Battle — Siege 	(As a Siege enters, choose an opponent to protect it. You and others can attack it. When it’s defeated, exile it, then cast it transformed.)\n When this Siege enters, return up to three target permanent cards from your graveyard to your hand.				4	
Armored Scrapgorger	1G	Creature — Phyrexian Beast 	This creature gets +3/+0 as long as it has three or more oil counters on it.\n T: Add one mana of any color.\n Whenever this creature becomes tapped, exile target card from a graveyard and put an oil counter on this creature.		0	3		
Baldin, Century Herdmaster	4WW	Legendary Creature — Human Warrior 	During your turn, each creature assigns combat damage equal to its toughness rather than its power.\n Whenever Baldin attacks, up to one hundred target creatures each get +0/+X until end of turn, where X is the number of cards in your hand.		0	7		
Birds of Paradise	G	Creature — Bird 	Flying\n T: Add one mana of any color.		0	1		
Devoted Druid	1G	Creature — Elf Druid 	T: Add G.\n Put a -1/-1 counter on this creature: Untap this creature.					
Dinosaur Egg	1G	Creature — Dinosaur Egg 	Evolve (Whenever a creature you control enters, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)\n When this creature dies, you may discover X, where X is its toughness.		0	3		
Doran, the Siege Tower	WBG	Legendary Creature — Treefolk Shaman 	Each creature assigns combat damage equal to its toughness rather than its power.		0	5		
Flumph	1W	Creature — Jellyfish 	Defender, flying\n Whenever this creature is dealt damage, you and target opponent each draw a card.					
Gluntch, the Bestower	1GW	Legendary Creature — Jellyfish 	Flying\n At the beginning of your end step, choose a player. They put two +1/+1 counters on a creature they control. Choose a second player to draw a card. Then choose a third player to create two Treasure tokens.		0	5		
Incubation Druid	1G	Creature — Elf Druid 	T: Add one mana of any type that a land you control could produce. If this creature has a +1/+1 counter on it, add three mana of that type instead.\n 3GG: Adapt 3. (If this creature has no +1/+1 counters on it, put three +1/+1 counters on it.)		0	2		
Leafkin Druid	1G	Creature — Elemental Druid 	T: Add G. If you control four or more creatures, add GG instead.		0	3		
Myrkul, Lord of Bones	4WBG	Legendary Creature — God 	As long as your life total is less than or equal to half your starting life total, Myrkul has indestructible.\n Whenever another nontoken creature you control dies, you may exile it. If you do, create a token that’s a copy of that card, except it’s an enchantment and loses all other card types.		7	5		
Ornithopter	0	Artifact Creature — Thopter 	Flying		0	2		
Overgrown Battlement	1G	Creature — Wall 	Defender\n T: Add G for each creature you control with defender.		0	4		
Sapling of Colfenor	3B/GB/G	Legendary Creature	Indestructible\n Whenever Sapling of Colfenor attacks, reveal the top card of your library. If it’s a creature card, you gain life equal to that card’s toughness, lose life equal to its power, then put it into your hand.		2	5		
Saruli Caretaker	G	Creature — Dryad 	Defender\n T, Tap an untapped creature you control: Add one mana of any color.		0	3		
Somberwald Sage	2G	Creature — Human Druid 	T: Add three mana of any one color. Spend this mana only to cast creature spells.		0	1		
Vine Trellis	1G	Creature — Plant Wall 	Defender (This creature can’t attack.)\n T: Add G.		0	4		
Wall of Omens	1W	Creature — Wall 	Defender\n When this creature enters, draw a card.		0	4		
Wall of Roots	1G	Creature — Plant Wall 	Defender\n Put a -0/-1 counter on this creature: Add G. Activate only once each turn.		0	5		
Assault Formation	1G	Enchantment	Each creature you control assigns combat damage equal to its toughness rather than its power.\n G: Target creature with defender can attack this turn as though it didn’t have defender.\n 2G: Creatures you control get +0/+1 until end of turn.					
Greed	3B	Enchantment	B, Pay 2 life: Draw a card.					
Kenrith's Transformation	1G	Enchantment — Aura 	Enchant creature\n When this Aura enters, draw a card.\n Enchanted creature loses all abilities and is a green Elk creature with base power and toughness 3/3. (It loses all other card types and creature types.)					
Leyline of Abundance	2GG	Enchantment	If this card is in your opening hand, you may begin the game with it on the battlefield.\n Whenever you tap a creature for mana, add an additional G.\n 6GG: Put a +1/+1 counter on each creature you control.					
Ripples of Undeath	1B	Enchantment	At the beginning of your first main phase, mill three cards. Then you may pay  and 3 life. If you do, put a card from among those cards into your hand.	As the monster lay dying, it stared into the eyes of the human who slew it. Decades later, it has yet to break its gaze.				
Zendikar Resurgent	5GG	Enchantment	Whenever you tap a land for mana, add one mana of any type that land produced. (The types of mana are white, blue, black, red, green, and colorless.)\n Whenever you cast a creature spell, draw a card.					
Dromoka's Command	GW	Instant	Choose two —\n • Prevent all damage target instant or sorcery spell would deal this turn.\n • Target player sacrifices an enchantment of their choice.\n • Put a +1/+1 counter on target creature.\n • Target creature you control fights target creature you don’t control.					
Concealed Courtyard		Land	This land enters tapped unless you control two or fewer other lands.\n T: Add W or B.					
Isolated Chapel		Land	This land enters tapped unless you control a Plains or a Swamp.\n T: Add W or B.					
Murmuring Bosk		Land — Forest 	(T: Add G.)\n As this land enters, you may reveal a Treefolk card from your hand. If you don’t, this land enters tapped.\n T: Add W or B. This land deals 1 damage to you.					
Restless Fortress		Land	This land enters tapped.\n T: Add W or B.\n 2WB: This land becomes a 1/4 white and black Nightmare creature until end of turn. It’s still a land.\n Whenever this land attacks, defending player loses 2 life and you gain 2 life.					
Scattered Groves		Land — Forest Plains 	(T: Add G or W.)\n This land enters tapped.\n Cycling 2 (2, Discard this card: Draw a card.)					
Shifting Woodland		Land	This land enters tapped unless you control a Forest.\n T: Add G.\n Delirium — 2GG: This land becomes a copy of target permanent card in your graveyard until end of turn. Activate only if there are four or more card types among cards in your graveyard.					
Shineshadow Snarl		Land	As this land enters, you may reveal a Plains or Swamp card from your hand. If you don’t, this land enters tapped.\n T: Add W or B.	A flickering beacon of righteous corruption.				
Tainted Field		Land	T: Add C.\n T: Add W or B. Activate only if you control a Swamp.					
Temple of Silence		Land	This land enters tapped.\n When this land enters, scry 1.\n T: Add W or B.					
Sorin, Vengeful Bloodlord	2WB	Legendary Planeswalker — Sorin 	During your turn, creatures and planeswalkers you control have lifelink.\n [+2]: Sorin deals 1 damage to target player or planeswalker.\n [-X]: Return target creature card with mana value X from your graveyard to the battlefield. That creature is a Vampire in addition to its other types.				4	
Creeping Renaissance	3GG	Sorcery	Choose a permanent type. Return all cards of the chosen type from your graveyard to your hand.\n Flashback 5GG (You may cast this card from your graveyard for its flashback cost. Then exile it.)					
Nature's Lore	1G	Sorcery	Search your library for a Forest card, put that card onto the battlefield, then shuffle.	From the cracks in the stone, she reads stories of the past. From the swirling vines, she glimpses visions of the future.				
Primal Command	3GG	Sorcery	Choose two —\n • Target player gains 7 life.\n • Put target noncreature permanent on top of its owner’s library.\n • Target player shuffles their graveyard into their library.\n • Search your library for a creature card, reveal it, put it into your hand, then shuffle.					
